# Input,ChemicalName,ChemicalId,CasRN,GeneSymbol,GeneId,Organism,OrganismId,PubMedIds
13463-67-7,titanium dioxide,C009495,13463-67-7,KDELC2,418966,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDELR2,11014,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDELR3,11015,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM1A,23028,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM1B,221656,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM2A,22992,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM2B,84678,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM3A,55818,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM3B,51780,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM4A,9682,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM4B,23030,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM4C,23081,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM4D,55693,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM5A,5927,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM5B,10765,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KDM6A,7403,Mus musculus,10090,35295148
